row_idx,top_features,top_abs_z
76,"['mean_allowed', 'mean_payment', 'mean_charge', 't_hipaa_share', 't_billing_share']","[4.59129692331306, 4.564675845930948, 1.2235591974649784, 0.9999995745697359, 0.9999995745697359]"
97,"['mean_charge', 'distinct_hcpcs', 'allow_ratio', 't_hipaa_share', 't_billing_share']","[3.6839119095279913, 2.2239942823563212, 1.538820003161829, 0.9999995745697359, 0.9999995745697359]"
153,"['mean_payment', 'mean_allowed', 'mean_charge', 'distinct_pos', 't_hipaa_share']","[9.964574376485702, 9.93841700032822, 2.788031772850039, 1.9950045249592383, 0.9999995745697359]"
172,"['distinct_hcpcs', 'distinct_pos', 't_hipaa_share', 't_billing_share', 't_lab_share']","[4.138535349761881, 1.9950045249592383, 0.9999995745697359, 0.9999995745697359, 0.9999995745697359]"
207,"['distinct_hcpcs', 't_hipaa_share', 't_billing_share', 't_lab_share', 't_reimburse_share']","[3.2316474757276685, 0.9999995745697359, 0.9999995745697359, 0.9999995745697359, 0.9999995745697359]"
223,"['distinct_hcpcs', 'total_services', 'allow_ratio', 't_hipaa_share', 't_billing_share']","[4.440831307773285, 1.2200805690304608, 1.1137821761628015, 0.9999995745697359, 0.9999995745697359]"
238,"['distinct_hcpcs', 'mean_allowed', 'allow_ratio', 'mean_payment', 't_hipaa_share']","[2.1232289630191863, 1.272469770020337, 1.2430883127290207, 1.1912137735615222, 0.9999995745697359]"
257,"['distinct_hcpcs', 'distinct_pos', 't_hipaa_share', 't_billing_share', 't_lab_share']","[7.363025568550192, 1.9950045249592383, 0.9999995745697359, 0.9999995745697359, 0.9999995745697359]"
262,"['mean_payment', 'mean_allowed', 'mean_charge', 'distinct_hcpcs', 'allow_ratio']","[9.386947913378098, 9.241250165936664, 7.370797024391481, 1.6194023663335129, 1.035022271621118]"
282,"['mean_allowed', 'mean_payment', 'distinct_pos', 'distinct_hcpcs', 't_hipaa_share']","[2.368574984142023, 2.2961514180058833, 1.9950045249592383, 1.3171064083221087, 0.9999995745697359]"
